author/fastFollowersCount,favourites_count,followers_count,author/following,name,uid,listed_count,author/userName,content,createdb,favoritecount,viewCount,retweetcount,replycount,quoteCount,bookmarkCount,avatar,Pi,Ei,Ni,PZ,DG,NCI
0,37857,2416942,1046,Kari Lake,1082197856,39424,KariLake,President Trumpa??s Thanksgiving Message! Thankful for him &amp; thankful to live in The United States of America a?��??? https://t.co/TOaYa2ZKFf,2024/11/28 6:01,690055,12896800,129543,18156,2331,4734,https://pbs.twimg.com/profile_banners/1082197856/1726711977,98,96,19,57,89,30
0,63671,1941024,2403,unusual_whales,1200616796295847936,131549,unusual_whales,BREAKING: Donald Trump has said: We require commitment from BRICS countries to neither create a new currency nor back any other currency or they will face 100% tariffs,2024/11/30 21:42,1614335,192125309,123200,87624,26551,56555,https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261,59,38,70,48,40,91
0,119381,779477,4875,Republicans against Trump,1221462414744596483,115284,RpsAgainstTrump,"NEW: President Zelensky has agreed to appear on the Lex Friedman podcast for three hours.

Lex Friedman is smart and interesting and will actually talk to anyone, unlike Joe Rogan https://t.co/WllfoB51WM",2024/11/30 23:45,6251828,401448438,1348275,531131,108375,277671,https://pbs.twimg.com/profile_banners/1221462414744596483/1675139829,70,92,64,51,61,41
0,139681,1807986,37443,Mario Nawfal,1319287761048723458,89723,MarioNawfal,"e??��e??oe??? BREAKING: KASH PATEL NAMED NEXT FBI DIRECTOR

Trump announces Kash Patel as the next FBI Director, touting him as an ""America First"" champion. 

Patel served in key national security roles during Trumpa??s first term, including Chief of Staff at the Department of Defense and https://t.co/czWafNR7wB",2024/11/30 23:57,1879392,373847914,328124,154072,27821,123258,https://pbs.twimg.com/profile_banners/1319287761048723458/1687204248,3,96,51,43,80,26
0,775500,1121669,99439,Gunther Eaglemana?��,1355721251180961792,194455,GuntherEagleman,"e??��BREAKING: Trump just nominated Kash Patel as Director of The FBI!

Another PHENOMENAL pick!

Time to drain the swamp!!! https://t.co/cQdFQ12tCs",2024/11/30 23:54,7133703,162947869,1155022,465461,53527,87378,https://pbs.twimg.com/profile_banners/1355721251180961792/1629655064,63,45,34,84,23,93
0,1381,8183026,925,TMZ,16331010,463612,TMZ,Elon Musk Attempts 'YMCA' Dance at Donald Trump's Thanksgiving   |  Click to read more e??? https://t.co/XFknrQH1pa,2024/11/29 14:10,25217,6867619,2950,12657,1098,706,https://pbs.twimg.com/profile_banners/16331010/1664401115,12,15,83,57,61,54
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Legal Hispanic Immigrants came to America to get away from the criminals Biden is letting across the border for free!  No wonder they voted for Trump!,2024/11/30 14:34,572260,13360526,94480,58025,6240,21310,https://pbs.twimg.com/profile_banners/17980523/1723738910,12,38,49,68,21,51
0,1806,762104,259,Mother Jones,18510860,272527,MotherJones,"Rep. Jamie Raskin, an anti-Trump star, is mulling a challenge to take charge of the Dems on the House Judiciary Committee. https://t.co/zynKae0M0q",2024/11/30 21:00,23035,1993588,15716,3773,817,1401,https://pbs.twimg.com/profile_banners/18510860/1729098502,97,40,10,10,66,58
0,0,95565591,53,Donald J. Trump,25073877,59639,realDonaldTrump,"The idea that the BRICS Countries are trying to move away from the Dollar while we stand by and watch is OVER. We require a commitment from these Countries that they will neither create a new BRICS Currency, nor back any other Currency to replace the mighty U.S. Dollar or, they",2024/11/30 23:57,8368864,1087704746,1086796,432213,94973,185332,https://pbs.twimg.com/profile_banners/25073877/1604214583,54,44,74,7,49,43
0,60,17814496,432,ABC News,28785486,460867,ABC,"Canadian Prime Minister Justin Trudeau met with Donald Trump Friday night at the president-elect's Mar-a-Lago resort.
Trudeau on Saturday said his conversation with Trump was ""excellent"" but did not respond to any additional questions. https://t.co/Rmdz56ouMb https://t.co/ceV1AyAKBB",2024/11/30 17:35,49694,23792401,16278,31013,3718,3138,https://pbs.twimg.com/profile_banners/28785486/1505493568,95,1,27,55,34,16
0,398137,628031,2796,Kyle Becker,321954654,121739,kylenabecker,"a??One of the things Ia??m going to advise Donald Trump to do in order to correct the chronic disease epidemic is to ban pharmaceutical advertising on TV.""

Big Pharma Melts Down After RFK Jr. Calls to Ban Drug Advertising 
https://t.co/YyNeMNXLb8",2024/11/30 22:03,969459,43621255,251062,106465,18507,40708,https://pbs.twimg.com/profile_banners/321954654/1668045045,73,90,100,49,18,8
0,25,837956,18,Seth Abramson,3223426134,85393,SethAbramson,"Trumpa??s popular-vote lead keeps narrowing, as Cook Political Report shows in its update from this morning.

Not a single journalist worldwide could credibly call this a mandate. https://t.co/xZQ7qLgoK9",2024/11/18 19:23,479421,24065852,218333,19575,7339,30550,https://pbs.twimg.com/profile_banners/3223426134/1729645880,0,99,78,0,75,5
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,"More than half of American voters voted for Trump. He won the popular vote by a decisive margin!

Cutting someone off just because they voted for the other candidate is close-minded and just plain mean.",2024/11/22 16:49,2387862,328825975,378024,121272,16240,59745,https://pbs.twimg.com/profile_banners/44196397/1726163678,81,75,93,41,18,36
0,1,881340,386,FOX Business,56413858,243364,FoxBusiness,Trump has reportedly held secret talks with Jamie Dimon for months about White House agenda https://t.co/qQ6sLmDxTP,2024/11/30 13:06,2821,334252,606,558,61,75,https://pbs.twimg.com/profile_banners/56413858/1602000837,89,81,2,74,82,1
0,10238,20436536,4747,Forbes,91478624,605197,Forbes,"Why Charles Kushnera??Trumpa??s Pick For Ambassador To Francea??Is So Controversial
https://t.co/W1JY6jeZ4n https://t.co/zlM0dcvSNU",2024/11/30 22:35,20131,18458222,4886,10017,921,1754,https://pbs.twimg.com/profile_banners/91478624/1696813485,91,47,67,38,61,24
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"This can be the Golden Age of America, just give Donald J. Trump a chance! https://t.co/7qHXXHZsrv",2024/11/30 18:29,254275,10457126,33884,29876,2606,7881,https://pbs.twimg.com/profile_banners/91583544/1591900473,50,8,13,7,32,19
0,209,4535309,1213,POLITICO,9300262,389771,politico,"After two flops, pollsters think they finally figured out Trump https://t.co/voxql7UKNt",2024/11/30 23:03,142952,78801032,35746,77645,13447,8930,https://pbs.twimg.com/profile_banners/9300262/1479760803,79,93,71,63,66,70
